101.17,101.17,136.25,289.24,385.29,385.29,432.12,214.48,192.35,192.35,428.3
109.89,109.89,144.97,291.89,387.94,387.94,434.78,217.13,195.01,195.01,430.95
114.56,114.56,203.39,351.45,447.5,447.5,494.33,276.69,254.57,254.57,490.51
539.09,539.09,345.55,377.23,106.93,106.93,135.06,256.96,310.1,310.1,242.41
255.89,255.89,187.31,106.15,334.43,334.43,381.27,163.66,95.37,95.37,241.48
371.55,371.55,208.7,244.72,87.63,87.63,152.63,120.11,149.34,149.34,138.1
78.67,78.67,213.17,375.86,471.91,471.91,503.31,301.09,278.97,278.97,514.92
296.3,296.3,133.66,129.95,244.25,244.25,291.09,73.48,44.06,44.06,227.31
291.93,291.93,148.24,110.79,260.68,260.68,307.51,89.9,49.68,49.68,208.14
297.85,297.85,150.16,106.69,262.6,262.6,309.43,91.82,59.5,59.5,204.04
147.92,147.92,306.1,489.33,512.11,512.11,507.54,393.13,392.44,392.44,628.39
259.29,259.29,168.37,102.69,335.01,335.01,381.84,164.23,95.94,95.94,238.02
227.35,227.35,84.48,237.83,185.81,185.81,200.65,71.01,123.86,123.86,335.19
224.35,224.35,91.79,237.89,185.87,185.87,198.36,71.07,123.92,123.92,335.25
377.34,377.34,218.72,108.4,208.79,208.79,279.11,132.45,131.17,131.17,114.34
298.92,298.92,149.43,292.18,176.25,176.25,171.82,125.35,178.2,178.2,330.46
188.9,188.9,378.61,551.59,584.63,584.63,580.05,476.82,454.7,454.7,690.65
85.28,85.28,262,461.42,478.73,478.73,474.15,349.03,364.53,364.53,600.48
375.2,375.2,199.76,177.05,133.25,133.25,203.56,113.5,122.05,122.05,134.68
244.97,244.97,175.74,128.07,337.41,337.41,387.03,167.36,98.6,98.6,265.99
20.83,20.83,171.25,354.48,419.81,419.81,415.24,258.28,257.59,257.59,493.54
20.93,20.93,171.34,354.58,419.91,419.91,415.33,258.37,257.69,257.69,493.64
382.1,382.1,219.26,230.23,99.13,99.13,169.16,133.26,152.05,152.05,116.5
280.12,280.12,126.05,268.8,193.7,193.7,202.82,101.97,154.82,154.82,366.15
154.49,154.49,312.67,495.9,518.69,518.69,514.11,399.7,399.02,399.02,634.96
150.67,150.67,305.04,488.27,511.05,511.05,506.48,392.07,391.38,391.38,627.33
53.69,53.69,192.24,375.47,408.96,408.96,404.39,279.27,278.59,278.59,514.53
56.07,56.07,165.87,349.1,381.25,381.25,376.68,252.9,252.21,252.21,488.16
341.82,341.82,202.3,69.72,286.81,286.81,333.64,116.03,114.94,114.94,148.26
327.11,327.11,164.27,216.27,134.6,134.6,181.44,78.28,116.37,116.37,173.88
32.67,32.67,169.64,352.87,405.57,405.57,401,256.67,255.99,255.99,491.94
32.67,32.67,169.64,352.87,405.57,405.57,401,256.67,255.99,255.99,491.94
242.71,242.71,174.13,147.76,335.88,335.88,382.71,165.1,96.81,96.81,286.82
245.29,245.29,404.15,586.7,610.57,610.57,605.59,491.07,490.52,490.52,725.64
198.14,198.14,356.31,539.54,562.33,562.33,557.75,443.34,442.66,442.66,678.6
43.66,43.66,182.57,365.8,399.29,399.29,394.72,269.6,268.92,268.92,504.87
202.16,202.16,397.15,559.84,638.28,638.28,633.71,485.08,462.95,462.95,698.9
210.09,210.09,399.77,562.45,633.95,633.95,629.38,487.69,465.57,465.57,701.51
196.48,196.48,391.48,554.16,606.6,606.6,602.02,479.4,457.28,457.28,693.22
297.71,297.71,131.65,141.62,238.16,238.16,284.99,67.35,30.25,30.25,238.98
168.57,168.57,353.4,557.93,559.42,559.42,554.84,440.43,461.04,461.04,696.99
356.16,356.16,193.32,227.72,92.9,92.9,165.05,107.32,135.18,135.18,142.56
355.55,355.55,192.71,227.73,92.29,92.29,164.44,106.72,135.18,135.18,141.95
355.22,355.22,192.37,228.09,91.95,91.95,164.11,106.38,135.54,135.54,141.61
425.3,425.3,246.17,227.15,102.26,102.26,186.38,159.9,168.46,168.46,103.8
524.76,524.76,342.24,379.01,95.65,95.65,122.79,253.65,306.79,306.79,244.2
250.86,250.86,182.28,113.82,332.55,332.55,379.38,161.77,93.48,93.48,251.97
250.15,250.15,181.57,113.12,331.85,331.85,378.68,161.07,92.78,92.78,251.27
259.57,259.57,190.99,102.64,345.18,345.18,392.01,174.4,106.11,106.11,237.97
60.72,60.72,256.16,422.49,472.89,472.89,468.31,347.73,325.61,325.61,561.55
254.83,254.83,147.4,101.73,314.03,314.03,360.86,143.25,74.96,74.96,239.91
246.22,246.22,99.66,133.98,251.06,251.06,297.89,80.25,23.78,23.78,277.75
545.85,545.85,383.01,354.08,140.05,140.05,182.01,294.41,325.3,325.3,219.26
565.3,565.3,470.32,548.85,242.18,242.18,165.81,381.73,434.87,434.87,438.24
247,247,100.44,135.75,251.83,251.83,298.67,81.02,24.56,24.56,277.53
422.12,422.12,241.76,223.97,100.08,100.08,184.2,155.49,164.05,164.05,103.43
206.02,206.02,43.17,217.42,221.73,221.73,268.56,51.67,67.46,67.46,314.78
212.33,212.33,49.49,223.21,235.03,235.03,281.86,64.21,50.74,50.74,320.56
207.28,207.28,44.44,225.21,229.52,229.52,276.35,59.46,55.36,55.36,322.57
134.04,134.04,313.9,497.5,519.91,519.91,515.34,400.92,400.62,400.62,636.56
278.51,278.51,124.44,267.19,197.33,197.33,207.93,100.36,153.21,153.21,364.54
211.65,211.65,143.06,152.23,320.68,320.68,367.52,149.87,94.66,94.66,291.3
175.33,175.33,370.75,545.98,576.77,576.77,572.19,471.21,449.09,449.09,685.04
409.5,409.5,250.88,165.4,156.33,156.33,226.64,164.61,163.33,163.33,88.45
592.55,592.55,465.46,543.98,237.32,237.32,160.95,376.87,430.01,430.01,433.38
170.5,170.5,328.68,511.91,534.69,534.69,530.12,415.7,415.02,415.02,650.97
106.62,106.62,141.7,286.2,382.25,382.25,429.08,211.43,189.31,189.31,425.26
299.49,299.49,129.87,143.41,236.39,236.39,283.22,65.57,31.48,31.48,240.76
337.98,337.98,175.14,161.31,147.39,147.39,229.87,88.87,97.43,97.43,153.39
305.51,305.51,151.01,119.14,235.53,235.53,282.36,64.75,53.31,53.31,216.5
66.66,66.66,225.06,387.28,483.83,483.83,480.44,313.73,291.1,291.1,526.22
456.34,456.34,323.24,401.77,77.77,77.77,54.36,234.65,287.79,287.79,254.02
315.5,315.5,175.82,90.08,260.33,260.33,307.16,89.55,88.46,88.46,187.44
208.52,208.52,45.67,224.48,228.79,228.79,275.62,58.73,54.63,54.63,321.84
290.77,290.77,155.54,82.39,279.85,279.85,326.68,109.08,49.57,49.57,207.49
288.5,288.5,125.66,130.4,226.4,226.4,273.23,55.62,49.04,49.04,227.75
95.95,95.95,227.17,389.85,485.9,485.9,509.69,315.09,292.96,292.96,528.91
